total_participants, male, female 
495, 87.9, 12.1
174, 76.7, 23.3
489, 29.8, 70.3
76, 26.7, 73.3
363, 42, 58
-, -, -
-, -, -
671, 73.6, 26.4
-, -, -
124, 62.5, 37.6
235, 77.7, 22.3
4.017, 64.8, 35.2
2.131, 54.8, 45.2
664, 70.2, 29.9
619, 69.3, 30.7
52, 71.9, 28.2
1.302, 91.6, 8.4
54, 80.8, 19.7
55, 62.5, 37.5
122, 33.1, 66.8
398, 4.5, 95.5
787, 19.8, 80.2
1.982, 24.4, 75.6
5.000, 50, 50
179, 73.7, 26.3
124, 79.8, 20.2
614, 56.5, 43.6
1.893, 67.9, 32.2
811, 44.4, 55.6
2.020, 44.4, 55.7
369, 39.3, 60.7
2.147, 45.6, 54.5
-, -, -
210, 45.3, 54.8
137, 47.5, 52.4
88, 29.8, 70.2
234, 53.4, 46.6
372, 62.6, 37.4
107, 54.2, 45.8
748, 42.2, 57.8
924, 52.3, 47.7
264, 56.4, 43.6
270, 41.1, 58.9
76, 46.8, 53.1
73, 23.1, 76.9
418, 91.2, 8.8
5.160, 33.5, 68.1
1.070, 56.2, 43.8
2.324, 70, 30
783, 83.7, 16.3
250, 76.8, 23.2
455, 65.9, 34.1
2.495, 36, 64
6.535, 10, 90
552, 40.3, 59.7
452, 28.7, 71.4
967, 47.9, 52.2
128, 70, 30
3.493, 14.2, 85.8
964, 81.3, 18.6
1.341, 32.2, 67.8
248, 62.9, 37.2
189, 35.2, 64.8
780, 88.2, 11.8
4.378, 7.3, 92.7
643, 74.9, 25.2
256, 40.7, 59.3
110, 85.5, 14.5
265, 86.4, 13.6
-, -, -
-, -, -
71, 95.8, 4.2
960, 83.7, 17.7
180, 24.4, 75.6
594, 24.1, 75.9
-, -, -
-, -, -
-, -, -
99, 80.6, 19.3
1.841, 4.2, 95.8
-, -, -
2.871, 34, 66
5.187, 47.1, 53
3.409, 29.2, 70.8
6.492, 43.2, 56.8
125, 50.8, 49.2
8.118, 22.2, 77.7
752, 36, 64
1.905, 33.8, 66.2
414, 31.3, 68.7
234, 21.8, 78.2
2.530, 42.8, 57.1
160, 25.8, 74.2
9.606, 39.3, 60.7
79, 16.8, 83.2
-, -, -
-, -, -
434, 50.8, 49.2
1.726, 87.7, 12.2
1.305, 68.7, 32.8
121, 82.1, 17.9
535, 10.6, 89.4
15.059, 89.3, 11.7
1.351, 90.9, 9.2
8.537, 92.6, 7.4
9.306, 83.5, 16.5
5.138, 91.6, 8.4
4.658, 90.2, 9.9
152, 81.5, 18.4
2.139, 93.3, 6.7
4.223, 85.1, 14.9
212, 86.2, 13.8
817, 76, 24
1.443, 93.5, 6.6
12.748, 93.7, 8.2
12.597, 92.6, 7.4
-, -, -
703, 83.5, 16.5
170, 89.4, 10.6
2.616, 91.3, 8.7
2.272, 88.4, 11.6
