Department,Employer Interest Index (for Department)
Malzeme Bilimi ve Nanoteknoloji Mühendisliği,33.0
Muhasebe ve Finans Yönetimi,33.0
Arap Dili ve Edebiyatı,32.9
Sinema ve Televizyon,32.8
Aktüerya Bilimleri,32.7
Endüstriyel Tasarım Mühendisliği,32.6
Çevre Mühendisliği,32.6
Sinoloji,32.5
Kimya,32.3
Petrol ve Doğalgaz Mühendisliği,32.3
Astronomi ve Uzay Bilimleri,32.3
Adli Bilişim Mühendisliği,32.2
Deniz Ulaştırma İşletme Mühendisliği,32.1
Uluslararası İlişkiler,32.0
Harita Mühendisliği,31.9
Deri Mühendisliği,31.7
"Radyo, Sinema ve Televizyon",31.6
Gazetecilik,31.6
Jeofizik Mühendisliği,31.5
Moda Tasarımı,31.3
Gemi Makineleri İşletme Mühendisliği,31.1
Hungaroloji,31.1
Biyomühendislik,31.0
İnşaat Mühendisliği,31.0
Otomotiv Mühendisliği,31.0
Uluslararası Ticaret ve Lojistik,30.9
Makine ve İmalat Mühendisliği,30.8
Biyomedikal Mühendisliği,30.7
Havacılık Yönetimi,30.6
Hukuk,30.2
Peyzaj Mimarlığı,30.2
Tütün Eksperliği,30.1
Jeoloji Mühendisliği,29.8
Tarım Makinaları ve Teknolojileri Mühendisliği,29.6
Bilim Tarihi,29.5
Aile ve Tüketici Bilimleri,29.5
Hititoloji,29.4
Uçak Elektrik/Elektroniği,29.4
Fizik,29.3
Uçak Gövde-Motor Bakım,29.2
Süt Teknolojisi,29.1
İktisat,28.9
Su Ürünleri Mühendisliği,28.9
Bankacılık ve Finans,28.8
Gümrük İşletme,28.7
Enerji Sistemleri Mühendisliği,28.7
Sınıf Öğretmenliği,28.7
Taşınabilir Kültür Varlıklarını Koruma ve Onarım,28.6
Teknoloji ve Bilgi Yönetimi,28.3
Veteriner,28.3
Muhasebe,28.3
Zootekni,28.1
Nükleer Enerji Mühendisliği,27.9
Hidrojeoloji Mühendisliği,27.9
Psikoloji,27.8
Muhasebe Bilgi Sistemleri,27.8
Hindoloji,27.7
Uluslararası İşletmecilik,27.7
Antropoloji,27.7
Balıkçılık Teknolojisi Mühendisliği,27.5
Havacılık Elektrik ve Elektroniği,27.3
Matematik,27.3
Fizik Öğretmenliği,27.1
Biyoloji Öğretmenliği,26.8
Biyoloji,26.8
Arkeoloji,26.6
Biyoteknoloji,26.5
Özel Eğitim Öğretmenliği,26.2
Genetik ve Biyomühendislik,26.1
Tarımsal Yapılar ve Sulama,26.1
Kimya Öğretmenliği,25.9
Sağlık Yönetimi,25.9
Nanoteknoloji Mühendisliği,25.7
Spor Yöneticiliği,25.7
Hemşirelik,25.6
Sosyoloji,25.5
Tarla Bitkileri,25.3
İş Sağlığı ve Güvenliği,25.2
Biyokimya,25.1
Sanat Tarihi,25.1
Maliye,25.0
Okul Öncesi Öğretmenlik,24.9
Tarım Ekonomisi,24.9
Bitki Koruma,24.8
Tarımsal Biyoteknoloji Bölümü,24.8
Orman Mühendisliği,24.7
Felsefe,24.5
Toprak Bilimi ve Bitki Besleme,24.5
Bahçe Bitkileri,24.4
Beslenme ve Diyetetik,24.3
Matematik Öğretmenliği,24.2
Halkbilim,24.1
Odyoloji,24.0
Biyosistem Mühendisliği,24.0
Çocuk Gelişimi,23.7
Moleküler Biyoloji ve Genetik,23.6
Raylı Sistemler Mühendisliği,23.4
Fizyoterapi ve Rehabilitasyon,23.4
Sigortacılık ve Sosyal Güvenlik,22.9
Siyaset Bilimi ve Kamu Yönetimi,22.3
Türk Halkbilimi,22.1
Kamu Yönetimi,21.5
İbrani Dili ve Edebiyatı,21.4
Gerontoloji,21.3
Aktuerya ve Risk Yönetimi,21.1
Sosyal Hizmet,21.0
Tarih,20.9
Türk Dili ve Edebiyatı,20.9
İlköğretim Matematik Öğretmenliği,20.8
Coğrafya Öğretmenliği,20.4
Coğrafya,20.3
Acil Yardım ve Afet Yönetimi,20.3
El Sanatları,20.3
Ergoterapi,20.1
Geleneksel Türk El Sanatları,19.6
Rehberlik ve Psikolojik Danışmanlık,19.6
Pilotaj,19.5
Çağdaş Türk Lehçeleri ve Edebiyatları,19.2
Felsefe Grubu Öğretmenliği,19.2
Fen Bilgisi Öğretmenliği,19.1
Türk Dili ve Edebiyatı Öğretmenliği,18.7
İlahiyat,18.7
Tarih Öğretmenliği,18.1
İslami İlimler,18.0
Türkçe Öğretmenliği,17.1
Sosyal Bilgiler Öğretmenliği,17.1
Kürt Dili Ve Edabiyatı,9.4
