job_name,mean_salary,max_salary,min_salary,first_grad,second_grad,third_grad,fourth_grad,fiveth_grad,first_department,second_department,third_department,fourth_department,fiveth_department,first_school,second_school,third_school,fourth_school,fiveth_school,first_skill,second_skill,third_skill,fourth_skill,fiveth_skill,number_of_entries ,job_adv.,total_participants,male,female
Bilgisayar Mühendisi, 4.510, 2.020, 7.090,Bilgisayar Mühendisliği, Bilgisayar Teknolojisi ve Programlama (MYO), Bilgisayar Programcılığı, Bilgisayar Bilimleri, Elektrik/Elektronik Mühendisliği, Bilişim, Elektrik & Elektronik, Telekomünikasyon, Finans - Ekonomi, Hizmet, Selçuk Üniversitesi, Sakarya Üniversitesi, Erciyes Üniversitesi, Fırat Üniversitesi, Çukurova Üniversitesi, Android Uygulama Geliştirme,C#,Java,JavaScript,LAN (Local Area Network),464,41.0,4.370, 64.3, 35.7
Bilgisayar Operatörü, 2.700, 2.020, 3.600,Bilgisayar Teknolojisi ve Programlama (MYO), İşletme, Bilgisayar Programcılığı, Kamu Yönetimi, Lojistik (MYO), Taşımacılık, Bilişim, Tekstil, Hizmet, Gıda, Anadolu Üniversitesi, Selçuk Üniversitesi, Sakarya Üniversitesi, Süleyman Demirel Üniversitesi, Kocaeli Üniversitesi, Adobe Photoshop,Bilgisayar Operatörlüğü,Muhasebe,-, -, 61,2.0,3.658, 63.4, 36.6
Bilgisayar Öğretmeni, 2.950, 2.050, 3.850,Bilgisayar ve Öğretim Teknolojileri Öğr., Bilgisayar Teknolojisi ve Programlama (MYO), Bilgisayar Öğretmenliği, Bilgisayar Programcılığı, Bilgisayar Sistemleri Öğretmenliği, Eğitim, Bilişim, Hizmet, Elektrik & Elektronik, Danışmanlık, Anadolu Üniversitesi, Süleyman Demirel Üniversitesi, Sakarya Üniversitesi, Gazi Üniversitesi, Selçuk Üniversitesi, Adobe Dreamweaver,Adobe Fireworks,Adobe Flash,Adobe Illustrator,Adobe Photoshop,68,33.0,2.940, 42.7, 57.3
Bilgisayar Programcısı, 2.870, 2.020, 4.050,Bilgisayar Programcılığı, Bilgisayar Teknolojisi ve Programlama (MYO), Bilgisayar Mühendisliği, İşletme, Bilgisayar Teknolojisi ve Bilişim Sistemleri, Bilişim, Elektrik & Elektronik, Eğitim, Sağlık, Hizmet, Anadolu Üniversitesi, Selçuk Üniversitesi, Süleyman Demirel Üniversitesi, Sakarya Üniversitesi, Manisa Celal Bayar Üniversitesi, ASP.NET,C#,CSS,HTML,Java,48,10.0,3.091, 59.7, 40.3
Bilgisayar Teknikeri, 2.990, 2.020, 4.020,Bilgisayar Teknolojisi ve Programlama (MYO), Bilgisayar Programcılığı, İşletme, Bilgisayar Teknolojisi ve Bilişim Sistemleri, Kamu Yönetimi, Bilişim, Elektrik & Elektronik, Hizmet, Eğitim, Sağlık, Selçuk Üniversitesi, Anadolu Üniversitesi, Süleyman Demirel Üniversitesi, Çukurova Üniversitesi, Mersin Üniversitesi, Adobe Dreamweaver,Adobe Photoshop,Bilgisayar Destekli Tasarım Araçları,C#,HTML,64,7.0,3.992, 81.7, 18.3
Bilgisayar Teknisyeni, 2.840, 2.020, 3.890,Bilgisayar Programcılığı, Bilgisayar Teknolojisi ve Programlama (MYO), İşletme, Bilgisayar Teknolojisi ve Bilişim Sistemleri, Kamu Yönetimi, Bilişim, Elektrik & Elektronik, Eğitim, Otomotiv, Hizmet, Anadolu Üniversitesi, Süleyman Demirel Üniversitesi, Selçuk Üniversitesi, Sakarya Üniversitesi, Mersin Üniversitesi, Adobe Photoshop,Bilgisayar Bakım Onarım,Bilgisayar Destekli Tasarım Araçları,C#,Elektrik/Elektronik,42,16.0,3.435, 85.5, 14.4
Bilirkişi, -, -, -, İşletme, Hukuk, İktisat, İnşaat Mühendisliği, Makine Mühendisliği, Danışmanlık, Hizmet, Finans - Ekonomi, Sigortacılık, Sağlık, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Uludağ Üniversitesi, Ankara Üniversitesi, Marmara Üniversitesi, Bilanço analizi,Bütçe planlama ve raporlama,Cari Hesap İşlemleri,Cari Hesap ve Finans Takibi,Finansal Analiz,-,0.0,483, 61.2, 38.7
Bilişim Suçları Uzmanı, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,0.0,-, -, -
Bilişim Teknolojileri Öğretmeni, 2.990, 2.080, 3.900,Bilgisayar ve Öğretim Teknolojileri Öğr., Bilgisayar Teknolojisi ve Programlama (MYO), Bilgisayar Öğretmenliği, Bilgisayar Programcılığı, Bilgisayar Sistemleri Öğretmenliği, Eğitim, Bilişim, Danışmanlık, Hizmet, Sağlık, Sakarya Üniversitesi, Marmara Üniversitesi, Gazi Üniversitesi, Anadolu Üniversitesi, Süleyman Demirel Üniversitesi, Adobe Dreamweaver,Adobe Fireworks,Adobe Flash,Adobe Illustrator,Adobe Photoshop,88,33.0,2.808, 46.4, 53.6
Bilişim Uzmanı, 5.050, 2.500, 8.970,Bilgisayar Mühendisliği, Bilgisayar Teknolojisi ve Programlama (MYO), Elektrik/Elektronik Mühendisliği, İşletme, Bilgisayar Programcılığı, Bilişim, Eğitim, Telekomünikasyon, Finans - Ekonomi, Hizmet, Anadolu Üniversitesi, Hacettepe Üniversitesi, Orta Doğu Teknik Üniversitesi (ODTÜ), Selçuk Üniversitesi, İhsan Doğramacı Bilkent Üniversitesi, MS SQL Server,Java,Ticaret,Mcsa,C#,24,4.0,533, 84.3, 15.7
Binbaşı, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,0.0,-, -, -
Bireysel Emeklilik Danışmanı, 3.130, 2.020, 6.080,İşletme, İktisat, Bankacılık ve Sigortacılık (MYO), Bankacılık ve Sigortacılık, Muhasebe (MYO), Sigortacılık, Finans - Ekonomi, Danışmanlık, Güvenlik, Telekomünikasyon, Anadolu Üniversitesi, Dumlupınar Üniversitesi, Süleyman Demirel Üniversitesi, Selçuk Üniversitesi, Cumhuriyet Üniversitesi, Bankacılık/Finans,Cari Hesap ve Finans Takibi,Lojistik Operasyon,Müşteri Hizmetleri Operasyon Yönetimi,-, 5,32.0,582, 27.8, 72.2
Bireysel Emeklilik Uzmanı, 3.660, 2.500, 5.680,İşletme, İktisat, Bankacılık ve Sigortacılık (MYO), Maliye, Kamu Yönetimi, Sigortacılık, Finans - Ekonomi, Danışmanlık, Hizmet, Telekomünikasyon, Anadolu Üniversitesi, Adnan Menderes Üniversitesi, Kocaeli Üniversitesi, Dumlupınar Üniversitesi, İstanbul Üniversitesi (İÜ), AS400,ETA,Finans,Finansal Analiz,Finansal Raporlama,7,0.0,533, 26.6, 73.4
Bireysel Müşteri Temsilcisi, 2.720, 2.020, 3.510,İşletme, İktisat, Kamu Yönetimi, Maliye, Bankacılık ve Sigortacılık (MYO), Finans - Ekonomi, Hizmet, Telekomünikasyon, Bilişim, Danışmanlık, Anadolu Üniversitesi, Atatürk Üniversitesi, Selçuk Üniversitesi, Dumlupınar Üniversitesi, Süleyman Demirel Üniversitesi, Bankacılık/Finans,ETA,Muhasebe,Müşteri Hizmetleri Operasyon Yönetimi,Satış Yönetimi,187,61.0,12.946, 38.4, 61.7
Bireysel Portföy Yöneticisi / Yönetmeni, 6.280, 4.000, 9.170,İşletme, İktisat, Kamu Yönetimi, Maliye, Çalışma Ekonomisi ve Endüstri İlişkileri, Finans - Ekonomi, Sigortacılık, Danışmanlık, Güvenlik, Telekomünikasyon, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Uludağ Üniversitesi, Selçuk Üniversitesi, Dumlupınar Üniversitesi, Bankacılık/Finans,Bireysel Krediler,Bireysel Portföy Operasyonu,Cari Hesap İşlemleri,Finans,6,0.0,837, 38.9, 61.1
Bireysel Satış Temsilcisi, 2.750, 2.020, 4.080,İşletme, İktisat, Kamu Yönetimi, Bankacılık ve Sigortacılık (MYO), Bankacılık ve Sigortacılık, Finans - Ekonomi, Tekstil, Telekomünikasyon, Hizmet, Gıda, Anadolu Üniversitesi, Selçuk Üniversitesi, Süleyman Demirel Üniversitesi, Dumlupınar Üniversitesi, Adnan Menderes Üniversitesi, Bankacılık/Finans,Finans,Genel Muhasebe,Muhasebe,Müşteri Hizmetleri Operasyon Yönetimi,25,6.0,2.650, 45.6, 54.5
Biyokimya Teknikeri, 3.310, 2.500, 4.340,Tıbbi Laboratuvar (MYO), Biyoloji, Tıbbi Laboratuvar Teknikeri  , Kimya Teknolojisi (MYO), Biyokimya, Sağlık, Hizmet, Kimya, Bilişim, Gıda, Karadeniz Teknik Üniversitesi (KTÜ), Anadolu Üniversitesi, Selçuk Üniversitesi, Gazi Üniversitesi, Kırıkkale Üniversitesi, CorelDraw,-, -, -, -, 8,0.0,413, 44.3, 55.7
Biyokimya Uzmanı, 10.800, 7.400, 14.240,Tıp, Biyokimya, Biyoloji, Kimya, Eczacılık, Sağlık, Hizmet, Eğitim, Kimya, Mobilya & Aksesuar, İstanbul Üniversitesi (İÜ), Ankara Üniversitesi, Gülhane Askeri Tıp Akademisi, Uludağ Üniversitesi, Ege Üniversitesi, 3D Tasarım ve Modelleme Uygulaması,Analiz Yöntemleri,İşçi Sağlığı ve İş Güvenliği,Kalibrasyon,Kalite Yönetim Sistemleri,11,7.0,210, 51.1, 48.9
Biyokimyager, 3.800, 2.020, 6.130,Biyokimya, Kimya, Biyoloji, Moleküler Biyoloji ve Genetik, Kimya Teknolojisi (MYO), Sağlık, Kimya, Hizmet, Bilişim, Eğitim, Ege Üniversitesi, Cumhuriyet Üniversitesi, Karadeniz Teknik Üniversitesi (KTÜ), Dumlupınar Üniversitesi, Afyon Kocatepe Üniversitesi, GCMS / HPLC,Mikrobiyoloji,-, -, -, 4,1.0,239, 39.7, 61.5
Biyolog, 2.720, 2.020, 3.590,Biyoloji, Moleküler Biyoloji ve Genetik, Biyoloji Öğretmenliği, Tıbbi Laboratuvar (MYO), Laborant ve Veteriner Sağlık  (MYO), Sağlık, Hizmet, Gıda, Eğitim, Sigortacılık, Ege Üniversitesi, Ankara Üniversitesi, Gazi Üniversitesi, İstanbul Üniversitesi (İÜ), Eskişehir Osmangazi Üniversitesi, GMP,Mikrobiyoloji,-, -, -, 156,97.0,5.705, 25.2, 74.8
Biyoloji Mühendisi, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,0.0,-, -, -
Biyoloji Öğretmeni, 2.940, 2.120, 3.770,Biyoloji, Biyoloji Öğretmenliği, Fen Bilgisi Öğretmenliği, Moleküler Biyoloji ve Genetik, Tıbbi Laboratuvar (MYO), Eğitim, Sağlık, Danışmanlık, Hizmet, Tekstil, İstanbul Üniversitesi (İÜ), Ege Üniversitesi, Marmara Üniversitesi, Gazi Üniversitesi, Ondokuz Mayıs Üniversitesi, Mikrobiyoloji,-, -, -, -, 243,109.0,8.138, 17.5, 82.5
Biyomedikal Cihaz Teknikeri, 3.030, 2.020, 4.040,Biyomedikal Cihaz Teknolojisi (MYO), Biyoloji, Endüstriyel Elektronik (MYO), İşletme, Elektrik-Elektronik Teknikerliği (MYO), Sağlık, Hizmet, Elektrik & Elektronik, Sigortacılık, Otomotiv, Kocaeli Üniversitesi, Gaziosmanpaşa Üniversitesi, İstanbul Üniversitesi (İÜ), Afyon Kocatepe Üniversitesi, Akdeniz Üniversitesi, ARDUINO,AutoCAD,Baskı Devre Tasarımı,Biyomedikal,Devre Tasarımı,87,9.0,2.121, 80.7, 19.3
Biyomedikal Mühendisi, 3.820, 2.020, 5.650,Biyomedikal Mühendisliği, Biyomedikal Cihaz Teknolojisi (MYO), Elektrik/Elektronik Mühendisliği, Kimya (MYO), Elektronik Mühendisliği, Sağlık, Hizmet, Eğitim, Bilişim, Sigortacılık, Erciyes Üniversitesi, Başkent Üniversitesi, Namık Kemal Üniversitesi, Yeditepe Üniversitesi, Kocaeli Üniversitesi, ARDUINO,AutoCAD,Biyomedikal,C,C Programming Language,62,10.0,755, 48.8, 51.2
Biyomedikal Teknikeri, 2.740, 2.020, 3.560,Biyomedikal Cihaz Teknolojisi (MYO), İşletme, Endüstriyel Elektronik (MYO), Elektronik Teknolojisi, Elektrik (MYO), Sağlık, Hizmet, Elektrik & Elektronik, Sigortacılık, Otomotiv, İstanbul Üniversitesi (İÜ), Kocaeli Üniversitesi, Ege Üniversitesi, Gaziosmanpaşa Üniversitesi, Afyon Kocatepe Üniversitesi, AutoCAD,Biyomedikal,Elektrik/Elektronik,ISIS PROTEUS / ARES,Kalibrasyon,11,10.0,662, 83.1, 16.9
Biyomedikal Teknisyeni, -, -, -, Biyomedikal Cihaz Teknolojisi (MYO), İktisat, Endüstriyel Elektronik (MYO), Otomotiv (MYO), Bilgisayar Operatörlüğü (MYO), Sağlık, Hizmet, Elektrik & Elektronik, Otomotiv, Sigortacılık, Anadolu Üniversitesi, Afyon Kocatepe Üniversitesi, Ankara Üniversitesi, Gazi Üniversitesi, Kastamonu Üniversitesi, Bakım Onarım,Elektrik Kumanda Panoları,Elektrik/Elektronik,İşçi Sağlığı ve İş Güvenliği,Kalibrasyon,-,3.0,147, 83.5, 16.5
Biyomedikal Uzmanı, 3.660, 2.500, 5.280,Biyomedikal Cihaz Teknolojisi (MYO), Biyomedikal Mühendisliği, Endüstriyel Elektronik (MYO), İşletme, Biyoloji, Sağlık, Hizmet, Yapı, Topluluklar, Üretim / Endüstriyel Ürünler, İstanbul Üniversitesi (İÜ), Akdeniz Üniversitesi, Gaziosmanpaşa Üniversitesi, Kocaeli Üniversitesi, Afyon Kocatepe Üniversitesi, ARDUINO,AutoCAD,Baskı Devre Tasarımı,Devre Tasarımı,Elektrik Kumanda Panoları,7,1.0,96, 90.8, 9.2
Biyoteknolog, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,0.0,-, -, -
Biyoteknoloji Uzmanı, 6.930, 5.400, 8.700,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 9,2.0,-, -, -
Blog Yazarı, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,0.0,-, -, -
Bobinaj Ustası, -, -, -, Mekatronik (MYO), Makine (MYO), Elektrik Enerjisi Üretim - İletim ve Dağıtımı (MYO), Elektronik Teknolojisi, İnşaat Teknolojisi, Elektrik & Elektronik, Enerji, Üretim / Endüstriyel Ürünler, Tekstil, Maden ve Metal Sanayi, Kastamonu Üniversitesi, Aksaray Üniversitesi, Anadolu Üniversitesi, Mustafa Kemal Üniversitesi, Dokuz Eylül Üniversitesi, Elektrik Kumanda Panoları,Elektrik Motorları,-, -, -, -,0.0,155, 83, 17
Boks Antrenörü, -, -, -, Beden Eğitimi ve Spor Öğretmenliği, Antrenörlük Eğitimi, Spor Yöneticiliği, Rekreasyon Yönetimi, Uluslararası İlişkiler, Eğitim, Gıda, Hizmet, Turizm, Ticaret, Anadolu Üniversitesi, Marmara Üniversitesi, Ankara Üniversitesi, Gazi Üniversitesi, Trakya Üniversitesi, Spor,Microsoft Office,İyi Bir Teşkilatçı,İkna Kabiliyeti Yüksek,Sportif,-,0.0,86, 78.1, 21.9
Bordro Uzmanı, 4.150, 2.510, 5.780,İşletme, Çalışma Ekonomisi ve Endüstri İlişkileri, İktisat, İnsan Kaynakları (MYO), Muhasebe, Danışmanlık, Hizmet, Gıda, Sağlık, Yapı, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Kocaeli Üniversitesi, Marmara Üniversitesi, Sakarya Üniversitesi, Bordrolama,Genel Muhasebe,ISO 9001,ISO 9001:2000,İç Tetkik Eğitim Sertifikası,87,79.0,387, 30.2, 69.8
Bordro ve Özlük İşleri Müdürü, 6.530, 3.740, 9.320,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 13,37.205,-, -, -
Bordro ve Özlük İşleri Uzmanı, 3.840, 2.210, 5.460,İşletme, Çalışma Ekonomisi ve Endüstri İlişkileri, Muhasebe (MYO), İktisat, Muhasebe, Hizmet, Gıda, Tekstil, Sağlık, Yapı, Anadolu Üniversitesi, Sakarya Üniversitesi, Kocaeli Üniversitesi, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Bordrolama,Hakediş Düzenlenmesi,İnsan Kaynakları,İnsan Kaynakları Yönetimi,İş hukuku,149,571.0,968, 39.3, 60.7
Borsa Uzmanı, -, -, -, İşletme, İktisat, Kamu Yönetimi, Matematik, Fizik Mühendisliği, -, -, -, -, -, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Dokuz Eylül Üniversitesi, İstanbul Teknik Üniversitesi (İTÜ), C Programming Language,Data Mining,Data Science,Finansal Analiz,MySQL,-,1.0,76, 46.7, 53.2
Borwerk Operatörü, 3.930, 3.000, 5.140,Konaklama İşletmeciliği, Makine (MYO), Makine, Maden ve Metal Sanayi, Üretim / Endüstriyel Ürünler, -, -, -, -, -, -, -, -, -, -, 2D Autocad,Cnc Freze,E SINIFI EHLİYET,Makina Operatörü,Montaj,5,2.0,81, 91.4, 8.6
Boya Teknikeri, 4.920, 2.900, 10.040,Boya Teknolojisi (MYO), Oto Boya Karoseri Doğrultma Teknikerliği (MYO), Otomotiv (MYO), Tekstil Teknolojisi Bölümü, Tekstil (MYO), Otomotiv, Kimya, Yapı, Üretim / Endüstriyel Ürünler, Tekstil, Kocaeli Üniversitesi, Namık Kemal Üniversitesi, Ege Üniversitesi, Afyon Kocatepe Üniversitesi, Kırklareli Üniversitesi, AutoCAD,Bilgisayar Destekli Tasarım Araçları,Boya,İnternet Bankacılığı,-, 4,5.0,176, 84.1, 15.9
Boyahane Müdürü, 12.810, 7.800, 18.300,Kimya Mühendisliği, Kimya, Tekstil Mühendisliği, Tekstil (MYO), İşletme, Tekstil, Kimya, Ev Eşyaları, Otomotiv, Maden ve Metal Sanayi, Ege Üniversitesi, Anadolu Üniversitesi, Karadeniz Teknik Üniversitesi (KTÜ), Ankara Üniversitesi, Atatürk Üniversitesi, FMEA,IATF 16949,ISO 14001,ISO 9001:2000,ISO/TS 16949,6,4.0,148, 75, 25
Bölge Müdürü, 3.450, 3.350, 3.580,İşletme, İktisat, Kamu Yönetimi, Makine Mühendisliği, Ziraat Mühendisliği, Sağlık, Gıda, Kimya, Yapı, Tekstil, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Dokuz Eylül Üniversitesi, Uludağ Üniversitesi, Çukurova Üniversitesi, Bütçe planlama ve raporlama,Bütçeleme Analizleri,CRM,Müşteri Hizmetleri Operasyon Yönetimi,Pazarlama Stratejisi,4,531.0,13.189, 86.1, 13.9
Bölge Satış Müdürü, 7.600, 2.880, 12.320,İşletme, İktisat, Makine Mühendisliği, Kamu Yönetimi, Halkla İlişkiler, Sağlık, Gıda, Kimya, Yapı, Otomotiv, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Uludağ Üniversitesi, Dokuz Eylül Üniversitesi, Çukurova Üniversitesi, Bayi Yönetimi,Bütçe planlama ve raporlama,Cari Hesap ve Finans Takibi,İş ve süreç analizi,Pazarlama Stratejisi,285,472.0,5.483, 87.4, 12.7
Bölge Satış Sorumlusu, 4.230, 2.190, 6.260,İşletme, İktisat, Kamu Yönetimi, Biyoloji, Pazarlama, Gıda, Sağlık, Kimya, Yapı, Üretim / Endüstriyel Ürünler, Anadolu Üniversitesi, Ege Üniversitesi, İstanbul Üniversitesi (İÜ), Selçuk Üniversitesi, Uludağ Üniversitesi, AutoCAD,CRM,Pazarlama Stratejisi,Raporlama,Saha Satış,214,2.991,8.439, 81.9, 18.1
Bölge Satış Temsilcisi, 4.010, 2.280, 5.740,İşletme, Kamu Yönetimi, İktisat, Pazarlama (MYO), Pazarlama, Gıda, Sağlık, Kimya, Hızlı Tüketim Malları, Yapı, Anadolu Üniversitesi, Kocaeli Üniversitesi, Ege Üniversitesi, İstanbul Üniversitesi (İÜ), Selçuk Üniversitesi, AutoCAD,Cari Hesap ve Finans Takibi,Pazarlama Stratejisi,Saha Satış,SAP,75,905.0,3.718, 86.6, 13.3
Bölge Satış Yöneticisi, 5.660, 2.450, 8.860,İşletme, İktisat, Kamu Yönetimi, Maliye, Makine Mühendisliği, Gıda, Kimya, Telekomünikasyon, Yapı, Hızlı Tüketim Malları, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Uludağ Üniversitesi, Dokuz Eylül Üniversitesi, Selçuk Üniversitesi, Adobe After Effects,Bayi Yönetimi,Cari Hesap ve Finans Takibi,CRM,Pazarlama Stratejisi,245,1.465,5.898, 85.6, 14.4
Börek Ustası, 4.120, 3.200, 5.310,İşletme, İşletme (İngilizce), İktisat, Elektronik Haberleşme (MYO), Eczane Hizmetleri (MYO), Gıda, Turizm, Hizmet, Eğitim, Üretim / Endüstriyel Ürünler, Anadolu Üniversitesi, Gazi Üniversitesi, Ege Üniversitesi, Yüzüncü Yıl Üniversitesi, Atatürk Üniversitesi, Genel Muhasebe,SPSS,-, -, -, 4,0.0,228, 59.8, 40.2
Broker, 3.900, 2.300, 5.650,İşletme, İktisat, Kamu Yönetimi, Ekonomi, Maliye, Hizmet, Yapı, Finans - Ekonomi, Sigortacılık, Danışmanlık, Anadolu Üniversitesi, Marmara Üniversitesi, İstanbul Üniversitesi (İÜ), Kocaeli Üniversitesi, Orta Doğu Teknik Üniversitesi (ODTÜ), AutoCAD,Finansal Analiz,Finansal Risk Yönetimi,Genel Muhasebe,KRİZ YÖNETİMİ,7,3.0,751, 63, 37
Bulgarca Öğretmeni, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,0.0,-, -, -
Buyer, 5.650, 3.370, 7.940,Tekstil Mühendisliği, İşletme, Endüstri Mühendisliği, İşletme (İngilizce), Makine Mühendisliği, Tekstil, Perakende, Otomotiv, Ticaret, Enerji, Ege Üniversitesi, Uludağ Üniversitesi, İstanbul Teknik Üniversitesi (İTÜ), Marmara Üniversitesi, İstanbul Üniversitesi (İÜ), Bütçe planlama ve raporlama,Project Management,SAP,SAP/MM,Satınalma Yönetimi,99,32.0,528, 27.9, 72.1
Buz Pateni Antrenörü, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,37.205,-, -, -
Büro Memuru, 2.810, 2.020, 3.830,İşletme, Kamu Yönetimi, İktisat, Büro Yönetimi ve Yönetici Asistanlığı (MYO), Bilgisayar Teknolojisi ve Programlama (MYO), Eğitim, Hizmet, Yapı, Danışmanlık, Taşımacılık, Anadolu Üniversitesi, Selçuk Üniversitesi, Dumlupınar Üniversitesi, Atatürk Üniversitesi, Kocaeli Üniversitesi, AutoCAD,Genel Muhasebe,Muhasebe,Ön Muhasebe,-, 124,3.0,7.043, 42.2, 57.8
Büro Personeli, 2.870, 2.020, 3.800,İşletme, Kamu Yönetimi, İktisat, Büro Yönetimi ve Yönetici Asistanlığı (MYO), Muhasebe (MYO), Hizmet, Eğitim, Yapı, Danışmanlık, Sağlık, Anadolu Üniversitesi, Selçuk Üniversitesi, Süleyman Demirel Üniversitesi, Manisa Celal Bayar Üniversitesi, Atatürk Üniversitesi, Adobe Photoshop,AutoCAD,Genel Muhasebe,İnsan Kaynakları Yönetimi,Muhasebe,25,6.0,2.521, 44.8, 55.1
Bütçe Planlama Direktörü, 11.670, 5.000, 28.990,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 3,37.205,-, -, -
Bütçe Planlama Uzmanı, 5.130, 2.750, 7.670,İşletme, İktisat, Endüstri Mühendisliği, İstatistik, İktisat (İngilizce), Finans - Ekonomi, Tekstil, Yapı, Perakende, Gıda, Marmara Üniversitesi, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Yıldız Teknik Üniversitesi (YTÜ), Dokuz Eylül Üniversitesi, AutoCAD,Bütçe planlama ve raporlama,Finansal Raporlama,IFRS (Uluslararası finansal raporlama standartları),SAP,30,64.0,198, 42.4, 58.1
Bütçe Uzmanı, 4.880, 2.960, 6.800,İşletme, İktisat, Endüstri Mühendisliği, Ekonometri, İşletme (İngilizce), Finans - Ekonomi, Yapı, Bilişim, Taşımacılık, Hizmet, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Hacettepe Üniversitesi, Gazi Üniversitesi, Bütçe,Bütçe planlama ve raporlama,Finansal Analiz,Finansal planlama/kontrol,Kredi değerlendirme,27,45.0,61, 44.3, 55.7
Bütçe ve Finans Uzmanı, 5.270, 2.020, 9.180,İşletme, İktisat, Maliye, Muhasebe (MYO), İktisat (İngilizce), Finans - Ekonomi, Yapı, Üretim / Endüstriyel Ürünler, Hizmet, Otomotiv, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Dokuz Eylül Üniversitesi, Selçuk Üniversitesi, Bankacılık/Finans,Bütçe planlama ve raporlama,Cari Hesap İşlemleri,Cari Hesap ve Finans Takibi,Çek-senet mevzuatı,13,2.0,592, 47.4, 52.6
Bütçe ve Raporlama Analisti, 5.580, 5.000, 6.660,İşletme, Ekonomi, İşletme (İngilizce), İstatistik, İktisat, Taşımacılık, Telekomünikasyon, Enerji, Yapı, Kimya, Dokuz Eylül Üniversitesi, İstanbul Üniversitesi (İÜ), Anadolu Üniversitesi, Marmara Üniversitesi, Sabancı Üniversitesi, Analiz Yöntemleri,Bilanço analizi,Bütçe planlama ve raporlama,Bütçeleme Analizleri,Finansal Analiz,5,1.0,105, 45.7, 54.3
Bütçe ve Raporlama Uzmanı, 5.890, 3.670, 8.110,İşletme, İktisat, İşletme (İngilizce), İktisat (İngilizce), İstatistik, Gıda, Finans - Ekonomi, Hizmet, Perakende, Enerji, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Anadolu Üniversitesi, Dokuz Eylül Üniversitesi, Yıldız Teknik Üniversitesi (YTÜ), Bütçe planlama ve raporlama,Bütçeleme Analizleri,Finansal Analiz,Finansal Raporlama,Finansal tablo analizi,46,247.0,668, 45.5, 54.5
Büyük Veri Mimarı, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,37.205,-, -, -
Büyük Veri Mühendisi, 8.300, 4.500, 12.190,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 8,37.205,-, -, -
C Sınıfı İş Güvenliği Uzmanı, 2.920, 2.150, 3.680,İş Sağlığı ve Güvenliği (MYO), Kimya, İş Sağlığı ve Güvenliği, Biyoloji, Fizik, Yapı, Sağlık, Çevre, Hizmet, Maden ve Metal Sanayi, Atatürk Üniversitesi, Kocaeli Üniversitesi, Süleyman Demirel Üniversitesi, Anadolu Üniversitesi, Çukurova Üniversitesi, AutoCAD,ISO 14001,ISO 9001,İSİG (İşçi Sağlığı ve İş Güvenliği) Mevzuatı,İş hukuku,371,178.0,4.358, 57.6, 42.4
Cankurtaran, 2.670, 2.020, 3.410,Beden Eğitimi ve Spor Öğretmenliği, Antrenörlük Eğitimi, Spor Yöneticiliği, İşletme, Rekreasyon Yönetimi, Turizm, Eğlence - Kültür - Sanat, Güvenlik, Hizmet, Sağlık, Anadolu Üniversitesi, Akdeniz Üniversitesi, Kocaeli Üniversitesi, Muğla Üniversitesi, Dumlupınar Üniversitesi, Adobe Photoshop,AutoCAD,MATLAB,SOLIDWORKS,-, 40,10.0,4.203, 77.7, 22.3
