University,Employer Interest Index
Turgut Özal Üniversitesi,22.6
Iğdır Üniversitesi,22.5
Amasya Üniversitesi,22.3
Ardahan Üniversitesi,21.6
Batman Üniversitesi,21.5
Yüzüncü Yıl Üniversitesi,21.3
Ahi Evran Üniversitesi,20.7
Erzincan Üniversitesi,20.6
Bingöl Üniversitesi,20.1
Hakkari Üniversitesi,20.0
Kilis 7 Aralık Üniversitesi,20.0
Siirt Üniversitesi,19.8
Muş Alparslan Üniversitesi,19.0
Adıyaman Üniversitesi,18.9
Ankara Sosyal Bilimler Üniversitesi,18.7
Ağrı İbrahim Çeçen Üniversitesi,17.9
Sağlık Bilimleri Üniversitesi,16.2
İzmir Bakırçay Üniversitesi,14.6
